Survey Collection ID,System,School,Survey Type,Delivery Method,Date,Primary Facilitator,Secondary Facilitator,Tertiary Facilitator,Quaternary Facilitator,Submitter Role,Clear about change we seek,Clear about roles and responsibilities,Confident plan will achieve goals,Feel more equipped,Equipped and supported,Understand state of instruction,Valuable use of my time:,Clarity direction of work ahead,I learned something:,Likely to recommend Instruction Partners
a152E00000EqetrQAB,District/Network 73,,Professional Development,Virtual,7/28/2021,Facilitator 62,Facilitator 72,Facilitator 61,,Other,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000EqetrQAB,District/Network 73,,Professional Development,Virtual,7/28/2021,Facilitator 62,Facilitator 72,Facilitator 61,,Other,,,,,,,Agree,,Strongly Agree,8
a152E00000EqetrQAB,District/Network 73,,Professional Development,Virtual,7/28/2021,Facilitator 62,Facilitator 72,Facilitator 61,,Other,,,,,,,Neutral,,Neutral,5
a152E00000EqjPoQAJ,District/Network 11,School 14,Professional Development,Virtual,7/29/2021,Facilitator 22,Facilitator 23,,,Teacher,,,,,,,Agree,,Agree,10
a152E00000EqjPoQAJ,District/Network 11,School 17,Professional Development,Virtual,7/29/2021,Facilitator 22,Facilitator 23,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000EqjPoQAJ,District/Network 11,School 17,Professional Development,Virtual,7/29/2021,Facilitator 22,Facilitator 23,,,Instructional Coach,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000EqjPjQAJ,District/Network 25,School 58,Professional Development,,7/29/2021,Facilitator 6,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000EqjPjQAJ,District/Network 25,School 58,Professional Development,,7/29/2021,Facilitator 6,,,,Other,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000EqjPjQAJ,District/Network 25,School 58,Professional Development,,7/29/2021,Facilitator 6,,,,Other,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000EqjPjQAJ,District/Network 25,School 58,Professional Development,,7/29/2021,Facilitator 6,,,,Instructional Coach,,,,,,,Strongly Agree,,Agree,10
a152E00000EqjPjQAJ,District/Network 25,School 58,Professional Development,,7/29/2021,Facilitator 6,,,,Teacher,,,,,,,Agree,,Agree,9
a152E00000EqjPeQAJ,District/Network 25,School 58,Professional Development,,7/29/2021,Facilitator 1,,,,Other,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000EqjPeQAJ,District/Network 25,School 58,Professional Development,,7/29/2021,Facilitator 1,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000EqjPeQAJ,District/Network 25,School 58,Professional Development,,7/29/2021,Facilitator 1,,,,Other,,,,,,,Strongly Agree,,Agree,10
a152E00000EqjPeQAJ,District/Network 25,School 58,Professional Development,,7/29/2021,Facilitator 1,,,,Instructional Coach,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000Eqdm9QAB,District/Network 43,School 126,Professional Development,Virtual,7/29/2021,Facilitator 41,,,,Teacher,,,,,,,Agree,,Agree,10
a152E00000Eqdm9QAB,District/Network 43,School 126,Professional Development,Virtual,7/29/2021,Facilitator 41,,,,Teacher,,,,,,,Agree,,Agree,8
a152E00000Eqdm9QAB,District/Network 43,School 126,Professional Development,Virtual,7/29/2021,Facilitator 41,,,,Teacher,,,,,,,Agree,,Agree,7
a152E00000Eqdm9QAB,District/Network 43,School 126,Professional Development,Virtual,7/29/2021,Facilitator 41,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,8
a152E00000Eqdm9QAB,District/Network 43,School 126,Professional Development,Virtual,7/29/2021,Facilitator 41,,,,Instructional Coach,,,,,,,Disagree,,Disagree,0
a152E00000Eqdm9QAB,District/Network 43,School 126,Professional Development,Virtual,7/29/2021,Facilitator 41,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000EqetwQAB,District/Network 73,,Professional Development,Virtual,7/29/2021,Facilitator 62,Facilitator 72,Facilitator 63,,Other,,,,,,,Agree,,Somewhat Agree,8
a152E00000EqetwQAB,District/Network 73,,Professional Development,Virtual,7/29/2021,Facilitator 62,Facilitator 72,Facilitator 63,,Other,,,,,,,Agree,,Agree,10
a152E00000EqetwQAB,District/Network 73,,Professional Development,Virtual,7/29/2021,Facilitator 62,Facilitator 72,Facilitator 63,,Other,,,,,,,Strongly Agree,,Strongly Agree,10
